,Unnamed: 0,time,height,speed,battery,temperature,phase
0,0,0.0,101.52358539877216,14.881434707948136,99.77402451007325,38.74706809062049,cruise
1,1,1.0,94.80007946879752,13.541426127252675,99.5869810643597,37.06307655535335,cruise
2,2,2.0,103.75225597903228,14.171053868328285,100.0568447515649,40.89838241412677,cruise
3,3,3.0,104.70282358195608,16.267820755467486,99.88568696740728,30.356501501780265,cruise
4,4,4.0,90.24482405673082,15.005986582399911,98.97728390587451,34.20391967505724,cruise
5,5,5.0,93.4891024656884,15.680419953736676,100.16093872688148,33.61243584817152,cruise
6,6,6.0,100.63920201583645,16.34015848440438,99.4724222318441,29.078951970774195,cruise
7,7,7.0,98.41878703828208,14.25031707420478,98.88397389183156,38.18098161433908,cruise
8,8,8.0,99.91599421247857,16.512496327259612,99.95375141653628,34.188810332589924,cruise
9,9,9.0,95.7347803621321,15.757685206916788,99.59211706507736,37.21889361495969,cruise
10,10,10.0,104.39698987431414,12.530373826177042,98.56692820322525,42.07931580298884,cruise
11,11,11.0,103.88895967714474,17.884609582372487,100.00771053924798,33.94026892451718,cruise
12,12,12.0,100.33015348780609,13.998510512486169,99.36843772322212,33.736541052028535,cruise
13,13,13.0,105.63620603484016,11.689809313629633,98.95386090114644,35.35599250917199,cruise
14,14,14.0,102.33754671126025,12.909912580827395,99.67398828168976,37.96174205895023,cruise
15,15,15.0,95.7035376855838,12.957909678643356,98.8784476907136,33.29986092406955,cruise
16,16,16.0,101.8437539204125,15.104346637315066,98.7046771811667,33.10711520860361,cruise
17,17,17.0,95.205586995855,14.452298988907526,98.30848858062764,38.1715678107241,cruise
18,18,18.0,104.39225150653635,14.326336064718816,98.8494837782121,36.1359179715141,cruise
19,19,19.0,99.75037044506874,16.239403930964958,98.71677996214046,28.865815210985534,cruise
20,20,20.0,99.0756881822737,15.679750722385409,98.40573846834326,31.32382460159268,cruise
21,21,21.0,96.5953522779803,15.632095741288571,97.92332514138452,39.50370759148163,cruise
22,22,22.0,106.11270669337016,15.819656914657385,98.30320316532128,36.20578484923644,cruise
23,23,23.0,99.227352589656,16.232269336004478,98.12325876527709,32.71341220688825,cruise
24,24,24.0,97.85836088918448,10.784093316445114,97.41134091871098,34.488771028295055,cruise
25,25,25.0,98.23933224755883,14.271123495471077,97.2620918223359,35.03971001840501,cruise
26,26,26.0,102.66154592776674,10.639579871021052,98.2004946073228,37.207200080840494,cruise
27,27,27.0,101.8272203218204,15.072119853595591,96.536893680312,30.92520981542363,cruise
28,28,28.0,102.06366305797994,14.990734055551307,97.8604630212384,32.47715258398863,cruise
29,29,29.0,102.15410501503942,17.09106454957936,97.43863614880075,35.81886726459017,cruise
30,30,30.0,110.70823800435232,17.37526878544224,98.25172090103756,34.70049625851365,high_altitude
31,31,31.0,97.96792491807692,15.405550096504737,97.27078341294056,36.71557754791013,cruise
32,32,32.0,97.43878635464232,13.9992778452062,97.7671795445634,31.311477807921207,cruise
33,33,33.0,95.9311363587606,15.970322225091476,97.15890043673846,36.07138602881396,cruise
34,34,34.0,103.07989711287748,13.944164725351373,97.33415135402036,38.274750858132414,cruise
35,35,35.0,105.64486146360446,14.997214697113302,97.56561546265722,36.46045564144785,cruise
36,36,36.0,99.43026271172562,16.972272633921534,96.88583925895485,35.41733521928477,cruise
37,37,37.0,95.79921761518736,13.884457308021153,97.53531447928624,34.712349192302085,cruise
38,38,38.0,95.8775939215438,16.611357278485002,96.46010801840372,32.495446541685496,cruise
39,39,39.0,103.2529639391235,16.354802737384606,97.02417329815609,34.78400422268064,cruise
40,40,40.0,103.71627085601722,13.090416365738356,97.25811665819072,38.77911755864122,cruise
41,41,41.0,102.71577134152598,16.9477882564348,97.04673546261188,34.64291448019962,cruise
42,42,42.0,96.67245146355653,16.39713269074301,97.59485907500434,32.33058803195477,cruise
43,43,43.0,101.1608066153336,15.203851774745315,96.17483689790124,33.52325873370384,cruise
44,44,44.0,100.58342904570364,13.475353083944697,95.78690185080218,35.60255089182779,cruise
45,45,45.0,101.09344298364506,13.28158796284886,95.89922884214884,33.87945800845746,cruise
46,46,46.0,104.35714388974095,13.924674846193955,96.64653759959052,36.45590984918943,cruise
47,47,47.0,101.1179777438734,16.08518892658392,96.48519770337091,36.56853128224709,cruise
48,48,48.0,103.39456781535948,13.088749665197204,96.20728448597988,37.666949541213945,cruise
49,49,49.0,100.33789534744446,15.87502449723974,95.51459755152251,39.2706784167951,cruise
50,50,50.0,101.44559699344993,12.516488942243214,96.37942964266053,37.98757617311709,cruise
51,51,51.0,103.1564411291927,14.591862831122302,95.30356352709065,32.19728280755612,cruise
52,52,52.0,92.71422090072168,15.219295509148017,96.41531062702428,32.28939666027118,cruise
53,53,53.0,98.4016439182135,19.890260290117837,97.18447496732568,34.772685570620524,cruise
54,54,54.0,97.64813672853602,12.245368688959266,95.85890124896146,33.64647392828176,cruise
55,55,55.0,96.80561075878327,17.944029132980265,95.88714966342448,31.58501981911717,cruise
56,56,56.0,98.6242887438666,15.29968482797456,95.26908563106774,33.67492461748102,cruise
57,57,57.0,107.47470655617198,15.822343836031926,94.53032877489204,33.576461199142884,cruise
58,58,58.0,95.6708444215338,15.236695826776408,95.05399567384023,32.984456780716386,cruise
59,59,59.0,104.8413917729574,15.889453636390463,94.7288276547259,34.052631541534986,cruise
60,60,60.0,91.58565114192098,14.692629791275964,94.47169290698768,38.535352550955,cruise
61,61,61.0,98.32557485007112,17.908100362914915,95.97629508611294,35.59771412374772,cruise
62,62,62.0,100.81376532552504,14.087057711550557,95.17146629404792,42.41542722816641,cruise
63,63,63.0,102.9311116567964,17.264469144358497,95.14479874526197,35.51152455805895,cruise
64,64,64.0,103.55613289896428,13.711265759573957,94.72036369227676,34.12980267818824,cruise
65,65,65.0,103.96673617599964,14.879496307197426,94.70835925357308,35.012398647964595,cruise
66,66,66.0,98.25637463875782,12.856074895419562,95.19699005583438,35.76947593533062,cruise
67,67,67.0,97.68824103667716,15.91004744069504,94.61846607528705,36.30576187151319,cruise
68,68,68.0,104.28987940628576,17.890251913853067,94.81990152356693,41.23013397757707,cruise
69,69,69.0,99.04347837559192,14.845287640358292,94.37647232555196,32.464038605067294,cruise
70,70,70.0,93.6215683833104,14.60622860259218,94.22331794902836,37.5771381745332,cruise
71,71,71.0,94.3335639299826,12.770766073864149,93.61085723151338,35.623251792842375,cruise
72,72,72.0,95.40273856999194,14.541414692895383,93.24535970305068,30.28670677228815,cruise
73,73,73.0,102.48580372026882,11.814411480556943,94.02337320362096,37.31209634628429,cruise
74,74,74.0,100.71212868035282,13.174244026562343,94.10232242007068,38.80287068241172,cruise
75,75,75.0,103.45242677033885,15.453572092218272,93.3509289756396,32.42847078866771,cruise
76,76,76.0,97.86373676831732,17.638026395482793,93.8966764813966,34.973198396324086,cruise
77,77,77.0,100.79269845538356,20.618421722459004,93.86071011532908,29.82393721397689,cruise
78,78,78.0,103.12795196983669,13.826829829858198,92.67574975072408,31.22358062094699,cruise
79,79,79.0,98.4532673013988,17.87060031329088,93.21611134393392,38.14408873285176,cruise
80,80,80.0,102.28387618778706,15.487504960803296,93.79722554046133,33.6007504819777,cruise
81,81,81.0,96.69037029466676,14.697504706507248,93.70704287821138,31.67359107518588,cruise
82,82,82.0,98.18473076717464,15.865188903452305,92.85659597523356,35.68838109337529,cruise
83,83,83.0,98.09131053000836,15.12383296735992,93.43257737860324,33.43276270570693,cruise
84,84,84.0,94.0208017720548,15.220791451224438,93.78447688595352,33.58753502667339,cruise
